Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7168,0.7553,0.7259,0.7555
GEMMA2-2B,0.6243,0.6833,0.6346,0.655
GEMMA2-9B,0.691,0.7306,0.6828,0.7028
LLAMA3.1,0.6377,0.7079,0.6356,0.6419
LLAMA3.2_1B,0.3768,0.3682,0.2497,0.2427
LLAMA3.2_3B,0.5504,0.6294,0.4642,0.4825
LLAMA3,0.645,0.7055,0.5676,0.5733
MISTRAL_NEMO,0.7223,0.7281,0.7251,0.7603
PHI3.5_MINI,0.6497,0.7,0.6312,0.6447
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7484,0.7896,0.7603,0.7834
QWEN2,0.6736,0.7056,0.6648,0.6916
