Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6286,0.6747,0.6193,0.6067
LLAMA3.1,0.627,0.6535,0.6284,0.6341
LLAMA3.2_1B,0.377,0.3644,0.3263,0.3976
LLAMA3.2_3B,0.5883,0.611,0.5967,0.6239
MISTRAL_NEMO,0.5329,0.4003,0.4191,0.6674
PHI3.5_MINI,0.4688,0.5227,0.464,0.6265
PHI3_MEDIUM,0.5899,0.1172,0.1512,0.1488
GEMMA2-2B,0.5564,0.63,0.5366,0.5363
GEMMA2-9B,0.7369,0.755,0.7409,0.7598
GEMMA2-27B,0.7396,0.705,0.7188,0.763
QWEN2,0.4989,0.5347,0.5088,0.7034
QWEN2.5_14B,0.7367,0.7733,0.7477,0.7684
