Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7324,0.7457,0.7339,0.7636
GEMMA2-2B,0.6428,0.6266,0.6322,0.6797
GEMMA2-9B,0.7212,0.7595,0.7278,0.7501
LLAMA3.1,0.6725,0.6818,0.6675,0.705
LLAMA3.2_1B,0.3257,0.3806,0.2027,0.2418
LLAMA3.2_3B,0.6474,0.7033,0.6625,0.6819
LLAMA3,0.6667,0.7473,0.6761,0.683
MISTRAL_NEMO,0.781,0.6844,0.7132,0.7732
PHI3.5_MINI,0.6735,0.7156,0.6758,0.702
PHI3_MEDIUM,0.8097,0.5008,0.4957,0.646
QWEN2.5_14B,0.7373,0.7864,0.7504,0.7722
QWEN2,0.6768,0.7143,0.6847,0.7141
