Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6904,0.6754,0.6818,0.7163
LLAMA3.1,0.5947,0.6109,0.5853,0.6233
LLAMA3.2_1B,0.2597,0.2424,0.2064,0.2697
LLAMA3.2_3B,0.5843,0.6267,0.5938,0.6115
MISTRAL_NEMO,0.7248,0.6489,0.6484,0.7002
PHI3.5_MINI,0.4478,0.5058,0.4308,0.5766
PHI3_MEDIUM,0.1818,0.0132,0.0247,0.0172
GEMMA2-2B,0.5907,0.6188,0.587,0.5932
GEMMA2-9B,0.7597,0.7638,0.7512,0.7738
GEMMA2-27B,0.7096,0.7496,0.72,0.7442
QWEN2,0.6686,0.7177,0.6755,0.7018
QWEN2.5_14B,0.7128,0.7614,0.7211,0.741
