Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6796,0.675,0.6757,0.7233
GEMMA2-2B,0.5434,0.5958,0.5205,0.5341
GEMMA2-9B,0.7675,0.7069,0.7273,0.7587
LLAMA3.1,0.6417,0.6023,0.6014,0.6153
LLAMA3.2_1B,0.3328,0.3184,0.311,0.4068
LLAMA3.2_3B,0.5438,0.5702,0.5492,0.575
LLAMA3,0.6553,0.6922,0.6496,0.6491
MISTRAL_NEMO,0.6458,0.6138,0.6201,0.6744
PHI3.5_MINI,0.6108,0.6635,0.624,0.6386
PHI3_MEDIUM,0.5874,0.6591,0.5789,0.717
QWEN2.5_14B,0.736,0.7474,0.7414,0.762
QWEN2,0.6498,0.6977,0.6567,0.6808
