Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6903,0.7285,0.696,0.7206
GEMMA2-2B,0.5517,0.6337,0.492,0.4938
GEMMA2-9B,0.7293,0.7462,0.7247,0.7491
LLAMA3.1,0.6024,0.6421,0.6082,0.6308
LLAMA3.2_1B,0.361,0.4051,0.2824,0.2966
LLAMA3.2_3B,0.5498,0.5976,0.5302,0.5368
LLAMA3,0.628,0.7107,0.6361,0.6437
MISTRAL_NEMO,0.624,0.6188,0.621,0.6676
PHI3.5_MINI,0.6198,0.6892,0.5965,0.601
PHI3_MEDIUM,0.4752,0.5862,0.5234,0.6957
QWEN2.5_14B,0.7266,0.7504,0.7366,0.7566
QWEN2,0.6659,0.7238,0.6733,0.6959
