Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6844,0.6798,0.6817,0.7448
GEMMA2-2B,0.6179,0.6951,0.6079,0.6185
GEMMA2-9B,0.6968,0.748,0.6881,0.7039
LLAMA3.1,0.6503,0.6988,0.6272,0.6378
LLAMA3.2_1B,0.4529,0.4796,0.2919,0.3138
LLAMA3.2_3B,0.6053,0.6628,0.5744,0.5771
LLAMA3,0.6403,0.7172,0.5767,0.5861
MISTRAL_NEMO,0.6968,0.7314,0.6943,0.721
PHI3.5_MINI,0.6513,0.7038,0.6393,0.6562
PHI3_MEDIUM,0.6692,0.7188,0.6164,0.6163
QWEN2.5_14B,0.7478,0.7864,0.7587,0.7824
QWEN2,0.675,0.7157,0.6695,0.6943
