Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6862,0.6816,0.6823,0.7286
GEMMA2-2B,0.5349,0.5895,0.5138,0.5277
GEMMA2-9B,0.7625,0.7007,0.7214,0.755
LLAMA3.1,0.6635,0.6203,0.6201,0.6276
LLAMA3.2_1B,0.3502,0.3172,0.3026,0.4272
LLAMA3.2_3B,0.5657,0.5905,0.5713,0.5975
LLAMA3,0.6538,0.6885,0.6471,0.6421
MISTRAL_NEMO,0.6632,0.6204,0.6292,0.6846
PHI3.5_MINI,0.6169,0.6695,0.6303,0.6462
PHI3_MEDIUM,0.6086,0.6921,0.6022,0.7702
QWEN2.5_14B,0.7367,0.7503,0.743,0.763
QWEN2,0.6496,0.6926,0.6563,0.6819
