Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7008,0.6918,0.694,0.7383
GEMMA2-2B,0.5613,0.6335,0.554,0.5605
GEMMA2-9B,0.7739,0.6935,0.7203,0.7587
LLAMA3.1,0.6939,0.6468,0.6632,0.6953
LLAMA3.2_1B,0.391,0.3829,0.297,0.3439
LLAMA3.2_3B,0.588,0.6432,0.5934,0.6008
LLAMA3,0.6853,0.7378,0.7035,0.7125
MISTRAL_NEMO,0.658,0.6283,0.6331,0.6814
PHI3.5_MINI,0.6322,0.6949,0.6485,0.6614
PHI3_MEDIUM,0.6097,0.6819,0.6012,0.7736
QWEN2.5_14B,0.75,0.7515,0.7498,0.7663
QWEN2,0.6455,0.6928,0.6542,0.6787
