Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6419,0.6881,0.6302,0.6142
LLAMA3.1,0.6652,0.6886,0.6655,0.6652
LLAMA3.2_1B,0.5514,0.3577,0.2485,0.3772
LLAMA3.2_3B,0.6184,0.6348,0.624,0.6523
MISTRAL_NEMO,0.7877,0.5518,0.5824,0.6926
PHI3.5_MINI,0.4743,0.5288,0.4694,0.6341
PHI3_MEDIUM,0.6412,0.1392,0.1767,0.1693
GEMMA2-2B,0.5529,0.6312,0.53,0.5271
GEMMA2-9B,0.7424,0.7554,0.7438,0.7625
GEMMA2-27B,0.7451,0.713,0.7258,0.7668
QWEN2,0.6805,0.7297,0.6954,0.719
QWEN2.5_14B,0.7375,0.7718,0.7481,0.7689
