Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6453,0.688,0.6327,0.6153
LLAMA3.1,0.6622,0.6871,0.663,0.662
LLAMA3.2_1B,0.548,0.3575,0.2572,0.3821
LLAMA3.2_3B,0.6165,0.6363,0.6239,0.6491
MISTRAL_NEMO,0.7946,0.5538,0.5854,0.691
PHI3.5_MINI,0.4722,0.5263,0.4679,0.6325
PHI3_MEDIUM,0.6218,0.1317,0.165,0.165
GEMMA2-2B,0.5544,0.6331,0.5304,0.5282
GEMMA2-9B,0.7402,0.7516,0.7409,0.7598
GEMMA2-27B,0.7485,0.711,0.726,0.7679
QWEN2,0.6756,0.7267,0.6904,0.7131
QWEN2.5_14B,0.7383,0.7709,0.7484,0.7695
