Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.674,0.6662,0.6692,0.7319
GEMMA2-2B,0.5895,0.6664,0.5622,0.5744
GEMMA2-9B,0.6937,0.7494,0.6902,0.7066
LLAMA3.1,0.6426,0.703,0.6224,0.6292
LLAMA3.2_1B,0.4187,0.4574,0.3139,0.3353
LLAMA3.2_3B,0.5937,0.6639,0.5534,0.554
LLAMA3,0.6355,0.7144,0.5771,0.5857
MISTRAL_NEMO,0.7107,0.7485,0.7206,0.7501
PHI3.5_MINI,0.6458,0.7069,0.63,0.6419
PHI3_MEDIUM,0.6617,0.7114,0.6095,0.6088
QWEN2.5_14B,0.7401,0.7817,0.7508,0.7749
QWEN2,0.679,0.7229,0.6746,0.6975
