Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.686,0.6832,0.6832,0.7281
GEMMA2-2B,0.5291,0.5861,0.5145,0.5287
GEMMA2-9B,0.7686,0.7081,0.729,0.7582
LLAMA3.1,0.632,0.6035,0.5997,0.6179
LLAMA3.2_1B,0.3254,0.3207,0.3178,0.3955
LLAMA3.2_3B,0.5221,0.5557,0.528,0.5556
LLAMA3,0.6334,0.6696,0.6279,0.6239
MISTRAL_NEMO,0.6247,0.5993,0.6038,0.6599
PHI3.5_MINI,0.6158,0.6723,0.6302,0.6442
PHI3_MEDIUM,0.5738,0.5966,0.5618,0.6937
QWEN2.5_14B,0.7329,0.7459,0.739,0.7614
QWEN2,0.6357,0.6831,0.6436,0.667
