Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6931,0.7219,0.6949,0.7222
GEMMA2-2B,0.5449,0.6303,0.4843,0.4949
GEMMA2-9B,0.7347,0.7489,0.7307,0.755
LLAMA3.1,0.6118,0.6593,0.6257,0.6421
LLAMA3.2_1B,0.3572,0.3661,0.3561,0.3873
LLAMA3.2_3B,0.5394,0.5464,0.5319,0.575
LLAMA3,0.6147,0.6901,0.626,0.6271
MISTRAL_NEMO,0.6827,0.6464,0.6575,0.7066
PHI3.5_MINI,0.6193,0.6925,0.6067,0.6118
PHI3_MEDIUM,0.4768,0.6101,0.5293,0.7128
QWEN2.5_14B,0.7133,0.7522,0.7266,0.7474
QWEN2,0.6473,0.7058,0.6588,0.6796
