Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6951,0.7316,0.7012,0.726
GEMMA2-2B,0.5598,0.6436,0.4992,0.5013
GEMMA2-9B,0.7299,0.7454,0.7251,0.7496
LLAMA3.1,0.6803,0.7079,0.6825,0.7071
LLAMA3.2_1B,0.3649,0.4924,0.2992,0.3271
LLAMA3.2_3B,0.5891,0.6337,0.5607,0.5581
LLAMA3,0.6473,0.7308,0.6584,0.6663
MISTRAL_NEMO,0.7432,0.6989,0.7159,0.7577
PHI3.5_MINI,0.6164,0.6885,0.5946,0.5981
PHI3_MEDIUM,0.4751,0.6031,0.5305,0.7048
QWEN2.5_14B,0.7279,0.7513,0.7377,0.7571
QWEN2,0.6642,0.7188,0.6704,0.6943
