Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7093,0.6982,0.7009,0.7442
GEMMA2-2B,0.563,0.6356,0.5578,0.5645
GEMMA2-9B,0.7758,0.698,0.7241,0.7598
LLAMA3.1,0.6762,0.6307,0.6455,0.6803
LLAMA3.2_1B,0.3827,0.3879,0.3193,0.3546
LLAMA3.2_3B,0.5925,0.6474,0.5963,0.6045
LLAMA3,0.6866,0.7415,0.7052,0.7136
MISTRAL_NEMO,0.6454,0.6238,0.6253,0.6717
PHI3.5_MINI,0.6321,0.6941,0.6485,0.6619
PHI3_MEDIUM,0.6044,0.6379,0.5991,0.7415
QWEN2.5_14B,0.7479,0.7504,0.7483,0.7652
QWEN2,0.644,0.6925,0.6531,0.676
