Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4592,0.1034,0.158,0.1007
LLAMA3.1,0.5151,0.2839,0.3171,0.5971
LLAMA3.2_1B,0.1605,0.3129,0.1902,0.3525
LLAMA3.2_3B,0.3061,0.2523,0.2549,0.4748
MISTRAL_NEMO,0.1862,0.3528,0.2406,0.2518
PHI3.5_MINI,0.3163,0.3071,0.2623,0.259
PHI3_MEDIUM,0.3853,0.3763,0.271,0.259
GEMMA2-2B,0.4214,0.309,0.2933,0.3237
GEMMA2-9B,0.5584,0.4618,0.4522,0.5899
GEMMA2-27B,0.6017,0.5423,0.561,0.6187
QWEN2,0.3905,0.4144,0.3232,0.3741
QWEN2.5_14B,0.6363,0.6169,0.5946,0.6259
