Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4429,0.0865,0.1327,0.0935
LLAMA3.1,0.4299,0.2962,0.3296,0.4892
LLAMA3.2_1B,0.1573,0.1821,0.1428,0.223
LLAMA3.2_3B,0.3354,0.2642,0.2548,0.3669
MISTRAL_NEMO,0.2953,0.3285,0.2045,0.2374
PHI3.5_MINI,0.3402,0.2795,0.2638,0.2806
PHI3_MEDIUM,0.2573,0.2144,0.1701,0.2086
GEMMA2-2B,0.1949,0.1566,0.1489,0.259
GEMMA2-9B,0.5486,0.4246,0.4302,0.554
GEMMA2-27B,0.6034,0.5932,0.5841,0.6547
QWEN2,0.3086,0.2639,0.2444,0.3094
QWEN2.5_14B,0.626,0.6126,0.5896,0.6259
