Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4429,0.1082,0.1638,0.0791
LLAMA3.1,0.4249,0.3228,0.3523,0.6043
LLAMA3.2_1B,0.2783,0.2341,0.183,0.2158
LLAMA3.2_3B,0.4297,0.32,0.3298,0.518
MISTRAL_NEMO,0.4001,0.3037,0.2605,0.3309
PHI3.5_MINI,0.4382,0.2915,0.3155,0.3597
PHI3_MEDIUM,0.3364,0.3544,0.3128,0.3813
GEMMA2-2B,0.4012,0.2466,0.2656,0.5468
GEMMA2-9B,0.4765,0.4591,0.4522,0.5755
GEMMA2-27B,0.4398,0.4349,0.4316,0.554
QWEN2,0.3856,0.3888,0.3687,0.518
QWEN2.5_14B,0.6108,0.6597,0.6163,0.6619
