Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4014,0.1071,0.164,0.1007
LLAMA3.1,0.5156,0.3127,0.3557,0.6043
LLAMA3.2_1B,0.2335,0.3067,0.2083,0.3597
LLAMA3.2_3B,0.3194,0.2806,0.2747,0.4676
MISTRAL_NEMO,0.204,0.3661,0.2579,0.2662
PHI3.5_MINI,0.3318,0.3148,0.2744,0.2734
PHI3_MEDIUM,0.379,0.3992,0.2663,0.259
GEMMA2-2B,0.3764,0.2669,0.2489,0.3022
GEMMA2-9B,0.5506,0.4595,0.448,0.5827
GEMMA2-27B,0.6142,0.5629,0.566,0.6115
QWEN2,0.3536,0.3579,0.2823,0.3453
QWEN2.5_14B,0.6409,0.6216,0.6008,0.6403
