Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4286,0.0749,0.1149,0.0647
LLAMA3.1,0.532,0.278,0.3341,0.5396
LLAMA3.2_1B,0.3311,0.2988,0.1603,0.2302
LLAMA3.2_3B,0.3081,0.2503,0.2484,0.4676
MISTRAL_NEMO,0.177,0.3492,0.2331,0.259
PHI3.5_MINI,0.3126,0.2578,0.2314,0.2158
PHI3_MEDIUM,0.3853,0.3763,0.271,0.259
GEMMA2-2B,0.3866,0.3068,0.2832,0.3525
GEMMA2-9B,0.5421,0.4544,0.4389,0.554
GEMMA2-27B,0.6234,0.5282,0.5577,0.6259
QWEN2,0.4519,0.4669,0.3804,0.3669
QWEN2.5_14B,0.6339,0.6156,0.5998,0.6475
