Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3581,0.3486,0.2506,0.3237
LLAMA3.1,0.3644,0.326,0.2721,0.4173
LLAMA3.2_1B,0.168,0.1594,0.1108,0.1871
LLAMA3.2_3B,0.5041,0.2988,0.253,0.1942
MISTRAL_NEMO,0.5462,0.4749,0.3216,0.3022
PHI3.5_MINI,0.3366,0.2427,0.2327,0.2158
PHI3_MEDIUM,0.1429,0.0055,0.0106,0.0072
GEMMA2-2B,0.4108,0.4088,0.3254,0.3957
GEMMA2-9B,0.5971,0.514,0.5011,0.6187
GEMMA2-27B,0.422,0.5227,0.426,0.5324
QWEN2,0.4343,0.3657,0.2797,0.2302
QWEN2.5_14B,0.5728,0.6172,0.5471,0.5971
