Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5162,0.1147,0.1716,0.223
LLAMA3.1,0.4627,0.3079,0.3604,0.446
LLAMA3.2_1B,0.2762,0.124,0.1376,0.1223
LLAMA3.2_3B,0.3899,0.3063,0.3011,0.4317
MISTRAL_NEMO,0.4188,0.3078,0.3261,0.3453
PHI3.5_MINI,0.4347,0.2346,0.2543,0.2878
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
GEMMA2-2B,0.3046,0.2005,0.1863,0.5324
GEMMA2-9B,0.5253,0.4462,0.4263,0.5324
GEMMA2-27B,0.495,0.5135,0.49,0.5612
QWEN2,0.5782,0.4761,0.4523,0.4964
QWEN2.5_14B,0.611,0.6304,0.6017,0.6547
