Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4707,0.2794,0.32,0.3381
LLAMA3.1,0.5458,0.388,0.4311,0.6259
LLAMA3.2_1B,0.3228,0.3039,0.188,0.2878
LLAMA3.2_3B,0.4214,0.3267,0.3275,0.5324
MISTRAL_NEMO,0.5013,0.4056,0.3342,0.3309
PHI3.5_MINI,0.3722,0.3616,0.3162,0.3813
PHI3_MEDIUM,0.4018,0.3805,0.3618,0.4892
GEMMA2-2B,0.3898,0.2429,0.2575,0.5468
GEMMA2-9B,0.5482,0.5189,0.5139,0.5899
GEMMA2-27B,0.4413,0.42,0.4257,0.554
QWEN2,0.5574,0.5508,0.5126,0.5468
QWEN2.5_14B,0.6089,0.6567,0.6057,0.6403
