Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6176,0.1137,0.1824,0.1942
LLAMA3.1,0.471,0.2878,0.3484,0.3741
LLAMA3.2_1B,0.2749,0.2563,0.1797,0.2518
LLAMA3.2_3B,0.4266,0.432,0.3806,0.482
MISTRAL_NEMO,0.3546,0.347,0.308,0.4173
PHI3.5_MINI,0.4235,0.2335,0.2435,0.2446
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
GEMMA2-2B,0.5287,0.2493,0.2714,0.5252
GEMMA2-9B,0.5089,0.4301,0.4082,0.482
GEMMA2-27B,0.5148,0.5391,0.5039,0.5612
QWEN2,0.5307,0.4565,0.445,0.5612
QWEN2.5_14B,0.4955,0.4937,0.4809,0.6619
