Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5072,0.2039,0.273,0.3165
LLAMA3.1,0.62,0.3665,0.4084,0.6547
LLAMA3.2_1B,0.1446,0.3276,0.1617,0.2734
LLAMA3.2_3B,0.2447,0.2865,0.2265,0.4892
MISTRAL_NEMO,0.411,0.4375,0.3423,0.4029
PHI3.5_MINI,0.3271,0.3768,0.3183,0.3885
PHI3_MEDIUM,0.355,0.3746,0.2688,0.2662
GEMMA2-2B,0.4386,0.4607,0.3524,0.4101
GEMMA2-9B,0.6491,0.5432,0.5199,0.6043
GEMMA2-27B,0.602,0.6356,0.5885,0.6115
QWEN2,0.3911,0.4083,0.3402,0.3885
QWEN2.5_14B,0.605,0.5982,0.5766,0.6475
