Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3978,0.3103,0.2886,0.3525
LLAMA3.1,0.3883,0.2926,0.2752,0.3525
LLAMA3.2_1B,0.1576,0.1358,0.0767,0.1151
LLAMA3.2_3B,0.324,0.3066,0.2749,0.3165
MISTRAL_NEMO,0.5827,0.4901,0.3786,0.4964
PHI3.5_MINI,0.3805,0.3201,0.2957,0.3381
PHI3_MEDIUM,0.0476,0.0055,0.0099,0.0072
GEMMA2-2B,0.276,0.3063,0.2189,0.3165
GEMMA2-9B,0.624,0.5488,0.5353,0.6187
GEMMA2-27B,0.5684,0.6592,0.5606,0.5755
QWEN2,0.4769,0.3721,0.2833,0.2662
QWEN2.5_14B,0.5785,0.6172,0.5683,0.5971
