Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4286,0.0443,0.0774,0.0504
LLAMA3.1,0.4496,0.2725,0.3209,0.5324
LLAMA3.2_1B,0.2006,0.2393,0.1486,0.2086
LLAMA3.2_3B,0.31,0.2406,0.2419,0.446
MISTRAL_NEMO,0.3319,0.332,0.2231,0.2446
PHI3.5_MINI,0.346,0.2866,0.2574,0.223
PHI3_MEDIUM,0.3307,0.3919,0.2489,0.2374
GEMMA2-2B,0.3587,0.3048,0.2736,0.3453
GEMMA2-9B,0.5373,0.4544,0.437,0.554
GEMMA2-27B,0.6196,0.5592,0.5664,0.6259
QWEN2,0.3977,0.3965,0.3272,0.3669
QWEN2.5_14B,0.6274,0.5982,0.5828,0.6475
