Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.45,0.1578,0.2164,0.1079
LLAMA3.1,0.5343,0.3993,0.4386,0.6475
LLAMA3.2_1B,0.1891,0.2208,0.1396,0.2158
LLAMA3.2_3B,0.3514,0.2791,0.2854,0.5324
MISTRAL_NEMO,0.3867,0.3333,0.2794,0.3309
PHI3.5_MINI,0.4569,0.3412,0.3261,0.3597
PHI3_MEDIUM,0.4089,0.3703,0.3534,0.4532
GEMMA2-2B,0.3966,0.2524,0.2721,0.554
GEMMA2-9B,0.5577,0.5589,0.547,0.6043
GEMMA2-27B,0.4497,0.4461,0.4389,0.5683
QWEN2,0.4466,0.3441,0.3645,0.518
QWEN2.5_14B,0.6304,0.6687,0.6286,0.6763
