Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5309,0.5429,0.5272,0.554
GEMMA2-2B,0.6004,0.3451,0.368,0.5755
GEMMA2-9B,0.5697,0.5679,0.5619,0.6187
LLAMA3.1,0.5492,0.3755,0.4203,0.6259
LLAMA3.2_1B,0.4362,0.2743,0.2093,0.2662
LLAMA3.2_3B,0.3129,0.3161,0.2994,0.446
LLAMA3,0.412,0.3058,0.3223,0.4029
MISTRAL_NEMO,0.4735,0.4793,0.3988,0.4173
PHI3.5_MINI,0.4437,0.4183,0.4018,0.4676
PHI3_MEDIUM,0.3611,0.3748,0.3372,0.446
QWEN2.5_14B,0.5975,0.6449,0.6024,0.6547
QWEN2,0.5211,0.5259,0.475,0.4964
