Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4562,0.4203,0.3527,0.3957
LLAMA3.1,0.4328,0.3979,0.3275,0.3669
LLAMA3.2_1B,0.1727,0.1422,0.085,0.1079
LLAMA3.2_3B,0.3862,0.3844,0.3157,0.3525
MISTRAL_NEMO,0.6671,0.5085,0.4494,0.5396
PHI3.5_MINI,0.3698,0.3099,0.2867,0.3381
PHI3_MEDIUM,0.1429,0.011,0.0204,0.0144
GEMMA2-2B,0.2685,0.3422,0.2253,0.3094
GEMMA2-9B,0.6368,0.5512,0.5387,0.6259
GEMMA2-27B,0.5415,0.6344,0.5262,0.5252
QWEN2,0.5724,0.3846,0.3337,0.295
QWEN2.5_14B,0.5774,0.6242,0.5696,0.6187
