Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5436,0.5494,0.5369,0.5612
GEMMA2-2B,0.4125,0.2612,0.2797,0.5468
GEMMA2-9B,0.5697,0.5679,0.5619,0.6187
LLAMA3.1,0.546,0.3755,0.4193,0.6259
LLAMA3.2_1B,0.3286,0.248,0.2071,0.2806
LLAMA3.2_3B,0.3087,0.3094,0.2946,0.4388
LLAMA3,0.4042,0.3058,0.3197,0.4029
MISTRAL_NEMO,0.4339,0.4674,0.3763,0.4101
PHI3.5_MINI,0.4393,0.4183,0.3992,0.4676
PHI3_MEDIUM,0.3799,0.3705,0.3471,0.446
QWEN2.5_14B,0.5966,0.6449,0.6007,0.6547
QWEN2,0.4543,0.5441,0.4439,0.482
