Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4654,0.2978,0.3246,0.3381
LLAMA3.1,0.5504,0.3903,0.4342,0.6331
LLAMA3.2_1B,0.3246,0.2874,0.1824,0.2662
LLAMA3.2_3B,0.4241,0.3267,0.3278,0.5324
MISTRAL_NEMO,0.5236,0.4013,0.3416,0.3309
PHI3.5_MINI,0.3748,0.331,0.304,0.3669
PHI3_MEDIUM,0.3871,0.3705,0.3465,0.4532
GEMMA2-2B,0.3891,0.2429,0.257,0.5468
GEMMA2-9B,0.5482,0.5189,0.5139,0.5899
GEMMA2-27B,0.4409,0.426,0.4286,0.5755
QWEN2,0.4529,0.4062,0.4051,0.5252
QWEN2.5_14B,0.6279,0.6634,0.6188,0.6475
