Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.4593,0.4668,0.4544,0.5468
GEMMA2-2B,0.4886,0.3071,0.3303,0.554
GEMMA2-9B,0.5542,0.5589,0.5489,0.6043
LLAMA3.1,0.5227,0.3662,0.4088,0.5971
LLAMA3.2_1B,0.2815,0.2482,0.2172,0.259
LLAMA3.2_3B,0.3187,0.273,0.2697,0.4532
LLAMA3,0.3803,0.3222,0.325,0.3957
MISTRAL_NEMO,0.4511,0.4752,0.3903,0.4173
PHI3.5_MINI,0.4238,0.3984,0.3786,0.4317
PHI3_MEDIUM,0.3244,0.3397,0.3123,0.4029
QWEN2.5_14B,0.5854,0.618,0.585,0.6547
QWEN2,0.5029,0.5079,0.4601,0.482
