Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5207,0.1059,0.1664,0.1799
LLAMA3.1,0.4635,0.2882,0.3442,0.3453
LLAMA3.2_1B,0.2031,0.1314,0.1251,0.2086
LLAMA3.2_3B,0.4311,0.4571,0.383,0.4892
MISTRAL_NEMO,0.3542,0.3321,0.3033,0.4029
PHI3.5_MINI,0.4362,0.235,0.2465,0.2374
PHI3_MEDIUM,0.2392,0.0869,0.1203,0.2158
GEMMA2-2B,0.4578,0.2139,0.2287,0.5252
GEMMA2-9B,0.5085,0.4301,0.4069,0.482
GEMMA2-27B,0.5133,0.5393,0.5053,0.5612
QWEN2,0.5224,0.4455,0.4365,0.5468
QWEN2.5_14B,0.4947,0.4937,0.4799,0.6619
