Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4405,0.1182,0.1812,0.1007
LLAMA3.1,0.5303,0.3947,0.4338,0.6331
LLAMA3.2_1B,0.3341,0.2838,0.1812,0.2302
LLAMA3.2_3B,0.4314,0.381,0.3725,0.554
MISTRAL_NEMO,0.5037,0.4178,0.3682,0.3813
PHI3.5_MINI,0.4205,0.3352,0.3103,0.3525
PHI3_MEDIUM,0.3871,0.3705,0.3465,0.4532
GEMMA2-2B,0.4509,0.3034,0.3226,0.5683
GEMMA2-9B,0.5554,0.5589,0.5468,0.6043
GEMMA2-27B,0.4466,0.4542,0.4418,0.5971
QWEN2,0.4494,0.3726,0.3933,0.5252
QWEN2.5_14B,0.6164,0.6644,0.6222,0.6763
