Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.4304,0.4337,0.4075,0.4964
GEMMA2-2B,0.3278,0.2202,0.2509,0.446
GEMMA2-9B,0.5682,0.569,0.5471,0.6043
LLAMA3.1,0.3509,0.3139,0.3014,0.4245
LLAMA3.2_1B,0.0993,0.0416,0.0548,0.0432
LLAMA3.2_3B,0.4117,0.0911,0.1445,0.1655
LLAMA3,0.3623,0.3399,0.3063,0.3885
MISTRAL_NEMO,0.4571,0.3997,0.3707,0.4748
PHI3.5_MINI,0.4266,0.2913,0.308,0.3309
PHI3_MEDIUM,0.3776,0.0951,0.1268,0.1367
QWEN2.5_14B,0.6078,0.6165,0.5839,0.6475
QWEN2,0.4138,0.3825,0.3696,0.3957
