Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5072,0.2039,0.273,0.3165
LLAMA3.1,0.5902,0.3427,0.3797,0.6475
LLAMA3.2_1B,0.1536,0.2703,0.1683,0.2878
LLAMA3.2_3B,0.2699,0.2945,0.2301,0.518
MISTRAL_NEMO,0.4677,0.4659,0.3799,0.4101
PHI3.5_MINI,0.3213,0.3823,0.3184,0.3957
PHI3_MEDIUM,0.3853,0.3763,0.271,0.259
GEMMA2-2B,0.364,0.3516,0.2851,0.3813
GEMMA2-9B,0.6312,0.5385,0.5128,0.5899
GEMMA2-27B,0.602,0.6356,0.5885,0.6115
QWEN2,0.4155,0.4527,0.3787,0.4173
QWEN2.5_14B,0.6077,0.6006,0.5797,0.6547
