Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4031,0.0925,0.147,0.1727
LLAMA3.1,0.4118,0.2825,0.3144,0.3525
LLAMA3.2_1B,0.2236,0.0874,0.0779,0.0719
LLAMA3.2_3B,0.378,0.2741,0.2614,0.3525
MISTRAL_NEMO,0.3794,0.3115,0.3169,0.3453
PHI3.5_MINI,0.4345,0.2578,0.2816,0.3022
PHI3_MEDIUM,0.321,0.0762,0.1184,0.1511
GEMMA2-2B,0.3591,0.248,0.2591,0.554
GEMMA2-9B,0.5242,0.4486,0.4256,0.5396
GEMMA2-27B,0.5338,0.5469,0.5252,0.5683
QWEN2,0.4483,0.4857,0.4209,0.518
QWEN2.5_14B,0.6273,0.6614,0.6186,0.6547
