Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4093,0.1075,0.1516,0.0863
LLAMA3.1,0.4611,0.2735,0.3087,0.5468
LLAMA3.2_1B,0.1764,0.2429,0.1555,0.259
LLAMA3.2_3B,0.2678,0.248,0.2508,0.446
MISTRAL_NEMO,0.2907,0.2701,0.1917,0.2446
PHI3.5_MINI,0.3616,0.3434,0.3,0.2806
PHI3_MEDIUM,0.3256,0.3627,0.2516,0.295
GEMMA2-2B,0.3583,0.2588,0.2394,0.3022
GEMMA2-9B,0.5496,0.4548,0.4428,0.5683
GEMMA2-27B,0.6079,0.5319,0.5561,0.6115
QWEN2,0.4165,0.4362,0.3485,0.3525
QWEN2.5_14B,0.6288,0.6169,0.5928,0.6259
