Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4413,0.2141,0.2569,0.3237
LLAMA3.1,0.5256,0.3863,0.4219,0.6043
LLAMA3.2_1B,0.1662,0.1617,0.0969,0.1727
LLAMA3.2_3B,0.1995,0.315,0.2204,0.4173
MISTRAL_NEMO,0.2665,0.247,0.2031,0.3094
PHI3.5_MINI,0.3359,0.3922,0.3254,0.4029
PHI3_MEDIUM,0.2736,0.296,0.2,0.2446
GEMMA2-2B,0.3286,0.351,0.281,0.3669
GEMMA2-9B,0.649,0.603,0.5593,0.6259
GEMMA2-27B,0.6051,0.6352,0.5895,0.5971
QWEN2,0.3444,0.4053,0.3205,0.3669
QWEN2.5_14B,0.591,0.5871,0.5656,0.6259
