Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4509,0.1942,0.2524,0.295
LLAMA3.1,0.5934,0.3235,0.3602,0.6259
LLAMA3.2_1B,0.1602,0.1412,0.1099,0.2302
LLAMA3.2_3B,0.3003,0.2702,0.2289,0.4676
MISTRAL_NEMO,0.4241,0.483,0.3817,0.4101
PHI3.5_MINI,0.3142,0.369,0.3047,0.3741
PHI3_MEDIUM,0.2992,0.3336,0.2256,0.2086
GEMMA2-2B,0.3905,0.4248,0.3379,0.3957
GEMMA2-9B,0.6224,0.5527,0.5119,0.5755
GEMMA2-27B,0.583,0.6019,0.5705,0.5899
QWEN2,0.3882,0.382,0.3414,0.3597
QWEN2.5_14B,0.6077,0.6006,0.5797,0.6547
