Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4286,0.1145,0.1762,0.1007
LLAMA3.1,0.5356,0.397,0.4371,0.6403
LLAMA3.2_1B,0.2694,0.3346,0.1713,0.2086
LLAMA3.2_3B,0.4304,0.3787,0.3725,0.5468
MISTRAL_NEMO,0.5142,0.4154,0.3697,0.3741
PHI3.5_MINI,0.4171,0.3389,0.3137,0.3525
PHI3_MEDIUM,0.3777,0.3739,0.3437,0.4388
GEMMA2-2B,0.6315,0.3098,0.338,0.5755
GEMMA2-9B,0.4754,0.477,0.4673,0.5971
GEMMA2-27B,0.4525,0.4558,0.4453,0.5899
QWEN2,0.4605,0.3945,0.409,0.5252
QWEN2.5_14B,0.6164,0.6644,0.6222,0.6763
