Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4239,0.183,0.2055,0.2158
LLAMA3.1,0.4494,0.2501,0.2781,0.3453
LLAMA3.2_1B,0.1468,0.0459,0.0604,0.0719
LLAMA3.2_3B,0.364,0.1155,0.1663,0.2446
MISTRAL_NEMO,0.3895,0.3879,0.3465,0.3885
PHI3.5_MINI,0.4053,0.2322,0.2653,0.3165
PHI3_MEDIUM,0.4414,0.1181,0.1785,0.2086
GEMMA2-2B,0.2425,0.192,0.1858,0.4892
GEMMA2-9B,0.4604,0.3902,0.3749,0.5468
GEMMA2-27B,0.5163,0.542,0.5035,0.5827
QWEN2,0.3523,0.3709,0.3257,0.4532
QWEN2.5_14B,0.6175,0.6304,0.6039,0.6547
