Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3194,0.2677,0.2488,0.3453
LLAMA3.1,0.3477,0.2738,0.2568,0.3381
LLAMA3.2_1B,0.1159,0.0832,0.0738,0.1367
LLAMA3.2_3B,0.2415,0.2766,0.2183,0.295
MISTRAL_NEMO,0.3677,0.3604,0.2883,0.4173
PHI3.5_MINI,0.3826,0.3054,0.2903,0.3381
PHI3_MEDIUM,0.1429,0.0286,0.0476,0.0072
GEMMA2-2B,0.197,0.217,0.1597,0.2662
GEMMA2-9B,0.5566,0.502,0.4691,0.5827
GEMMA2-27B,0.4566,0.5108,0.4474,0.5396
QWEN2,0.4818,0.3296,0.2899,0.2878
QWEN2.5_14B,0.5749,0.6505,0.5739,0.6043
