Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4286,0.0464,0.0809,0.0576
LLAMA3.1,0.4404,0.2478,0.2988,0.482
LLAMA3.2_1B,0.2079,0.298,0.1555,0.2014
LLAMA3.2_3B,0.328,0.3223,0.3022,0.4532
MISTRAL_NEMO,0.3491,0.3736,0.2524,0.2806
PHI3.5_MINI,0.3425,0.312,0.2741,0.259
PHI3_MEDIUM,0.2596,0.2791,0.2032,0.2374
GEMMA2-2B,0.4095,0.3345,0.3289,0.3597
GEMMA2-9B,0.4587,0.3774,0.364,0.5108
GEMMA2-27B,0.6244,0.5644,0.5826,0.6331
QWEN2,0.408,0.4336,0.337,0.3597
QWEN2.5_14B,0.65,0.6354,0.6201,0.6691
