Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3017,0.3293,0.245,0.3597
LLAMA3.1,0.2743,0.2503,0.2252,0.3309
LLAMA3.2_1B,0.1874,0.1137,0.1034,0.1439
LLAMA3.2_3B,0.3598,0.2539,0.2059,0.1871
MISTRAL_NEMO,0.5027,0.3533,0.2765,0.3165
PHI3.5_MINI,0.3644,0.2651,0.2503,0.2302
PHI3_MEDIUM,0.0714,0.0055,0.0102,0.0072
GEMMA2-2B,0.3431,0.2856,0.2265,0.3381
GEMMA2-9B,0.6577,0.5325,0.5197,0.5971
GEMMA2-27B,0.4755,0.5677,0.4763,0.5108
QWEN2,0.5164,0.387,0.2994,0.2374
QWEN2.5_14B,0.5546,0.5815,0.53,0.5827
