Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.4953,0.509,0.4875,0.518
GEMMA2-2B,0.2853,0.2229,0.2347,0.4676
GEMMA2-9B,0.5546,0.5293,0.5318,0.6043
LLAMA3.1,0.4154,0.3746,0.3587,0.4532
LLAMA3.2_1B,0.222,0.1061,0.1008,0.1007
LLAMA3.2_3B,0.3967,0.112,0.1434,0.1583
LLAMA3,0.3494,0.3243,0.3052,0.4029
MISTRAL_NEMO,0.4401,0.3887,0.3922,0.5468
PHI3.5_MINI,0.4472,0.2726,0.2776,0.2806
PHI3_MEDIUM,0.2308,0.0769,0.11,0.1799
QWEN2.5_14B,0.6332,0.6229,0.5924,0.6547
QWEN2,0.4857,0.3889,0.3912,0.4029
