Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.4821,0.4522,0.4547,0.5324
GEMMA2-2B,0.3452,0.3317,0.313,0.5612
GEMMA2-9B,0.5759,0.5833,0.5719,0.6259
LLAMA3.1,0.44,0.3101,0.3452,0.5971
LLAMA3.2_1B,0.2385,0.2191,0.1899,0.2662
LLAMA3.2_3B,0.3121,0.3161,0.2992,0.446
LLAMA3,0.3962,0.2766,0.3005,0.3381
MISTRAL_NEMO,0.3955,0.4232,0.3331,0.3957
PHI3.5_MINI,0.3704,0.3378,0.3302,0.4317
PHI3_MEDIUM,0.3211,0.3591,0.3126,0.4317
QWEN2.5_14B,0.6088,0.6536,0.6104,0.6691
QWEN2,0.4025,0.4568,0.3838,0.446
