Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4286,0.0443,0.0774,0.0504
LLAMA3.1,0.511,0.2543,0.3287,0.446
LLAMA3.2_1B,0.3263,0.2238,0.1412,0.2014
LLAMA3.2_3B,0.2358,0.2221,0.2186,0.3669
MISTRAL_NEMO,0.2839,0.2948,0.187,0.2374
PHI3.5_MINI,0.3679,0.2597,0.2598,0.2518
PHI3_MEDIUM,0.2906,0.3622,0.2319,0.2446
GEMMA2-2B,0.2615,0.1566,0.1561,0.259
GEMMA2-9B,0.4897,0.3806,0.3872,0.518
GEMMA2-27B,0.6117,0.5632,0.5653,0.6259
QWEN2,0.3202,0.3625,0.2694,0.3094
QWEN2.5_14B,0.601,0.5633,0.5466,0.6187
