Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3259,0.1106,0.1427,0.1439
LLAMA3.1,0.3473,0.2144,0.2545,0.3237
LLAMA3.2_1B,0.0993,0.0752,0.0669,0.0576
LLAMA3.2_3B,0.3459,0.3294,0.2893,0.3525
MISTRAL_NEMO,0.3315,0.271,0.2763,0.3381
PHI3.5_MINI,0.3091,0.2266,0.2186,0.3022
PHI3_MEDIUM,0.4152,0.1141,0.1713,0.1942
GEMMA2-2B,0.3028,0.188,0.1777,0.4748
GEMMA2-9B,0.5324,0.4504,0.429,0.518
GEMMA2-27B,0.4243,0.4321,0.4113,0.5324
QWEN2,0.4762,0.4831,0.4416,0.4892
QWEN2.5_14B,0.597,0.6308,0.5981,0.6691
