Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4714,0.2996,0.3279,0.3453
LLAMA3.1,0.5939,0.4017,0.4505,0.6547
LLAMA3.2_1B,0.2806,0.2955,0.1961,0.295
LLAMA3.2_3B,0.3764,0.3508,0.3499,0.5396
MISTRAL_NEMO,0.3705,0.3163,0.2495,0.3094
PHI3.5_MINI,0.3431,0.3044,0.2911,0.3669
PHI3_MEDIUM,0.3633,0.3388,0.3234,0.4173
GEMMA2-2B,0.5286,0.2142,0.2266,0.5396
GEMMA2-9B,0.5533,0.5212,0.5186,0.5971
GEMMA2-27B,0.438,0.3954,0.4052,0.5612
QWEN2,0.4212,0.3305,0.3461,0.482
QWEN2.5_14B,0.631,0.6657,0.6215,0.6547
