Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4475,0.2593,0.2825,0.295
LLAMA3.1,0.4878,0.3553,0.3925,0.5755
LLAMA3.2_1B,0.2482,0.2276,0.1692,0.2158
LLAMA3.2_3B,0.3127,0.248,0.257,0.5252
MISTRAL_NEMO,0.3864,0.3598,0.2796,0.3165
PHI3.5_MINI,0.3575,0.322,0.2977,0.3597
PHI3_MEDIUM,0.3526,0.4169,0.3404,0.3885
GEMMA2-2B,0.3217,0.2178,0.2229,0.4964
GEMMA2-9B,0.4945,0.4692,0.4608,0.6115
GEMMA2-27B,0.4469,0.4407,0.4371,0.5755
QWEN2,0.3948,0.3954,0.3774,0.4748
QWEN2.5_14B,0.6377,0.6681,0.6228,0.6619
