Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5043,0.5137,0.496,0.5324
GEMMA2-2B,0.3733,0.2799,0.2987,0.5036
GEMMA2-9B,0.5611,0.5316,0.5372,0.6115
LLAMA3.1,0.4542,0.3494,0.3475,0.4748
LLAMA3.2_1B,0.1862,0.1951,0.1352,0.1727
LLAMA3.2_3B,0.3828,0.0966,0.1529,0.1727
LLAMA3,0.3957,0.3127,0.2843,0.3813
MISTRAL_NEMO,0.4921,0.4647,0.4642,0.6043
PHI3.5_MINI,0.4239,0.2281,0.2605,0.295
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
QWEN2.5_14B,0.6296,0.6165,0.5882,0.6475
QWEN2,0.4831,0.3936,0.393,0.4173
