Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4048,0.0831,0.1201,0.1799
LLAMA3.1,0.4554,0.2522,0.3178,0.3381
LLAMA3.2_1B,0.1606,0.1305,0.1052,0.1223
LLAMA3.2_3B,0.385,0.3943,0.3354,0.4388
MISTRAL_NEMO,0.3663,0.3828,0.3269,0.4101
PHI3.5_MINI,0.432,0.2431,0.2542,0.2662
PHI3_MEDIUM,0.2302,0.0728,0.1064,0.1655
GEMMA2-2B,0.5596,0.3015,0.3043,0.5396
GEMMA2-9B,0.5147,0.4348,0.4155,0.4964
GEMMA2-27B,0.518,0.5417,0.5075,0.5683
QWEN2,0.512,0.4695,0.4521,0.5683
QWEN2.5_14B,0.5821,0.607,0.5785,0.6619
