Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5085,0.4319,0.4357,0.5683
GEMMA2-2B,0.482,0.3351,0.3595,0.4748
GEMMA2-9B,0.5423,0.4899,0.4943,0.5899
LLAMA3.1,0.4889,0.3104,0.3439,0.518
LLAMA3.2_1B,0.0095,0.0857,0.0171,0.0216
LLAMA3.2_3B,0.3294,0.2703,0.2479,0.2302
LLAMA3,0.4937,0.3241,0.3632,0.4892
MISTRAL_NEMO,0.4549,0.2968,0.2928,0.4676
PHI3.5_MINI,0.4911,0.3968,0.4014,0.482
PHI3_MEDIUM,0.2302,0.095,0.123,0.2446
QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691
QWEN2,0.5135,0.4462,0.4388,0.5252
