Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.4897,0.4064,0.416,0.5683
GEMMA2-2B,0.3328,0.2485,0.2581,0.4676
GEMMA2-9B,0.5372,0.4856,0.4862,0.5899
LLAMA3.1,0.4025,0.2756,0.2983,0.4317
LLAMA3.2_1B,0.0695,0.0918,0.026,0.0432
LLAMA3.2_3B,0.2626,0.2031,0.2086,0.2302
LLAMA3,0.3481,0.2414,0.2454,0.4245
MISTRAL_NEMO,0.3772,0.2054,0.2284,0.4245
PHI3.5_MINI,0.4873,0.3904,0.3978,0.4748
PHI3_MEDIUM,0.2489,0.0552,0.0828,0.1583
QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691
QWEN2,0.444,0.3807,0.3754,0.5324
