Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.3036,0.2586,0.2373,0.3597
LLAMA3.1,0.3048,0.2756,0.2397,0.3669
LLAMA3.2_1B,0.1878,0.1813,0.1607,0.3309
LLAMA3.2_3B,0.2878,0.1434,0.172,0.3022
MISTRAL_NEMO,0.2968,0.2782,0.2292,0.2806
PHI3.5_MINI,0.2952,0.2085,0.2212,0.3237
PHI3_MEDIUM,0.0,0.0,0.0,0.0
GEMMA2-2B,0.2085,0.2782,0.2087,0.2806
GEMMA2-9B,0.3825,0.2987,0.3128,0.5396
GEMMA2-27B,0.379,0.3239,0.3287,0.4892
QWEN2,0.3239,0.2539,0.251,0.2878
QWEN2.5_14B,0.4217,0.3855,0.3859,0.5396
