Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4775,0.3156,0.33,0.4532
LLAMA3.1,0.4208,0.2693,0.2864,0.4676
LLAMA3.2_1B,0.0789,0.1811,0.0639,0.1727
LLAMA3.2_3B,0.2892,0.1765,0.1475,0.1655
MISTRAL_NEMO,0.2006,0.1487,0.1446,0.3237
PHI3.5_MINI,0.4195,0.3435,0.3051,0.3669
PHI3_MEDIUM,0.2351,0.0909,0.122,0.2302
GEMMA2-2B,0.514,0.3643,0.3985,0.482
GEMMA2-9B,0.5417,0.4329,0.4538,0.5899
GEMMA2-27B,0.3531,0.3059,0.3016,0.5108
QWEN2,0.4205,0.3704,0.3547,0.482
QWEN2.5_14B,0.4885,0.3948,0.4141,0.6259
