Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4888,0.325,0.3416,0.482
LLAMA3.1,0.4658,0.3033,0.3242,0.5108
LLAMA3.2_1B,0.0561,0.159,0.0366,0.0935
LLAMA3.2_3B,0.3245,0.2516,0.1894,0.2086
MISTRAL_NEMO,0.1951,0.1412,0.1375,0.3094
PHI3.5_MINI,0.4279,0.3231,0.2995,0.3597
PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158
GEMMA2-2B,0.5128,0.3617,0.3943,0.4748
GEMMA2-9B,0.5417,0.4329,0.453,0.5899
GEMMA2-27B,0.361,0.3243,0.3136,0.5108
QWEN2,0.4287,0.3704,0.358,0.482
QWEN2.5_14B,0.4885,0.3948,0.4141,0.6259
