Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4017,0.3031,0.2796,0.4388
LLAMA3.1,0.4307,0.2768,0.2989,0.4532
LLAMA3.2_1B,0.091,0.1891,0.0816,0.2014
LLAMA3.2_3B,0.2331,0.2467,0.1822,0.2158
MISTRAL_NEMO,0.2313,0.1518,0.1468,0.3094
PHI3.5_MINI,0.432,0.3475,0.3246,0.3957
PHI3_MEDIUM,0.3697,0.0925,0.1391,0.1727
GEMMA2-2B,0.5246,0.3575,0.4096,0.518
GEMMA2-9B,0.5403,0.4114,0.4393,0.5899
GEMMA2-27B,0.3771,0.3487,0.3347,0.5324
QWEN2,0.4331,0.4009,0.3703,0.4964
QWEN2.5_14B,0.5078,0.412,0.4291,0.6187
