Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5685,0.3374,0.3806,0.5468
LLAMA3.1,0.523,0.3742,0.3865,0.5324
LLAMA3.2_1B,0.0936,0.2347,0.0943,0.2446
LLAMA3.2_3B,0.458,0.3518,0.3152,0.3094
MISTRAL_NEMO,0.4438,0.223,0.2533,0.482
PHI3.5_MINI,0.476,0.2712,0.2522,0.3525
PHI3_MEDIUM,0.2274,0.0869,0.1167,0.2158
GEMMA2-2B,0.4452,0.3639,0.3751,0.5396
GEMMA2-9B,0.5507,0.4808,0.4954,0.6043
GEMMA2-27B,0.3249,0.2918,0.2721,0.4604
QWEN2,0.4258,0.3588,0.3528,0.4964
QWEN2.5_14B,0.6176,0.4984,0.5229,0.6475
