Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.4704,0.2755,0.2958,0.5252
LLAMA3.1,0.4137,0.2738,0.2875,0.4676
LLAMA3.2_1B,0.3034,0.2226,0.1156,0.1871
LLAMA3.2_3B,0.2353,0.2202,0.1999,0.2662
MISTRAL_NEMO,0.3963,0.2285,0.2318,0.4317
PHI3.5_MINI,0.4852,0.3401,0.3094,0.3957
PHI3_MEDIUM,0.1587,0.05,0.0693,0.1655
GEMMA2-2B,0.3886,0.313,0.3177,0.4748
GEMMA2-9B,0.5521,0.4498,0.4681,0.6043
GEMMA2-27B,0.3823,0.3076,0.2957,0.5036
QWEN2,0.4341,0.3528,0.3472,0.4748
QWEN2.5_14B,0.5478,0.4217,0.4472,0.6403
