Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.5045,0.4296,0.4303,0.5612
GEMMA2-2B,0.4043,0.3304,0.3404,0.4604
GEMMA2-9B,0.5323,0.4876,0.4907,0.5827
LLAMA3.1,0.5079,0.3376,0.3634,0.5108
LLAMA3.2_1B,0.1058,0.1183,0.0271,0.0432
LLAMA3.2_3B,0.2264,0.1881,0.1653,0.2014
LLAMA3,0.5012,0.2974,0.323,0.4892
MISTRAL_NEMO,0.4153,0.2543,0.2639,0.4388
PHI3.5_MINI,0.5062,0.4081,0.4182,0.5036
PHI3_MEDIUM,0.3659,0.0803,0.1169,0.1799
QWEN2.5_14B,0.6152,0.4727,0.5002,0.6763
QWEN2,0.4411,0.3824,0.3775,0.5252
